"Nome da instituição/unidade";"Tipo de Logradouro";"Nome do Logradouro";"Número no Logradouro";"Complemento";"Bairro";"CEP";"Estado";"Municipio";"Latitude";"Longitude";"Telefone 1";"Telefone 2";"E-mail ";"Público atendido pela instituição";"A instituição atende algum outro público específico?";"Qual?";"Sexo do público atendido";"Modalidade de internação";;
"Casa Acolhedora Luz Divina";"Estrada";"BR - 364";"S/N";"Km - 15";"Zona Rural";"69923-000";"Acre";"Bujari - Acre";"-9,70415608";"-68,13446677";"(68) 3224-2022";"(68) 9984-9353";"casacaminhodeluz@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Instituto Restauração de Vidas - IRV";"Rodovia";"BR - 364 - Km - 82";"S/N";"Ramal do Gavião - Km - 2";"Zona Rural";"69923-000";"Acre";"Bujari - Acre";"-9,70415608";"-68,128973606";"(68) 9922-4944";"(68) 9971-7699";;"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Obras Social Nossa Senhor da Gloria - Fazenda esperança Dom Luis Hebert";"Rua";"Alberto gadelha de Oliveira";285;;"Centro";"69990-000";"Acre";"Mâncio Lima - Acre";"-7,6312682959";"-72,9013588098";"(68) 3343-1165";;"manciolima.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória - Fazenda Da Esperança Dom Luis Herebst";"Colônia";"Bom Futuro";"Setor 4 Lote 15";"Rmal do Batoque";"Gleba São Pedro";"68990-000";"Acre";"Mâncio Lima - Acre";"-7,6217402932";"-72,8910591272";"(68) 3343-1145";;"manciolima.m@fazenda.org.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Desafio jovem Peniel";"Alameda";"das Cerejeiras";208;;"Vila do Incra";"69908-000";"Acre";"Porto Acre - Acre";"-9,5785393788";"-67,8678601821";"(68) 3261-1134";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Desafio Jovem Peniel";"Rua";"Pernambuco";270;;"Centro";"69908-600";"Acre";"Rio Branco - Acre";"-9,9902660716";"-67,8124010146";"(82) 8812-5618";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"OBRAS SOCIAIS DA DIOCESE DE RIO BRANCO – COMUNIDADE ARCO ÍRIS";"Avenida";"Getúlio Vargas";2979;;"Bosque";"69908-650";"Acre";"Rio Branco - Acre";"-";"-";"(68) 3228-8347";;"arcoiris@gmail.com";"Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Compulsória";;
"OBRAS SOCIAIS DA DIOCESE DE RIO BRANCO – COMUNIDADE Estrela da Manhã";"Rua";"Irineu Serra";3960;;"Irineu Serra";"69900-000";"Acre";"Rio Branco - Acre";"-9,9642728";"-67,806477";"(68) 9282-1009";;"arcoiris@gmail.com";"Adultos - Idosos";;;"Feminino";"Voluntária - Compulsória";;
"OBRAS SOCIAIS DA DIOCESE DE RIO BRANCO – COMUNIDADE Arco Íris";"Estrada";"de Porto Acre";19;"Km";"Pólo Hélio Pimenta";"69921-000";"Acre";"Rio Branco - Acre";"-9,9809164";"-67,839417";"(68) 9229-8347";"(68) 3228-8347";;"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Casa Terapeuta Ebenezer";"Estrada";"Porto Acre";"S/N";"Km - 4 - Ramal 5.000 - Chacarra  Vale da Benta";"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9902660716";"-67,8165208877";"(68) 9983-2869";"(68) 3228-0065";"acalva.ac@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação de Parenters e Amigos de Dependentes Quimicos - CEntro Conceição Balica Ribeiro";"Rua";"Projetada";"S/N";"Vila Da Amizade";"Vila Acre";"69900-000";"Acre";"Rio Branco - Acre";"-9,9875611241";"-67,8110277236";"(68) 3222-7923";"(68) 9961-6213";"apadeq@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Associação de Parentes e Amigos de Dependentes Quyimicos - Casa Enoque Balbino da Costa";"Estrada";"Apolonio Sales";"S?N";"Km - 10";"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9767411092";"-67,8082811416";"(68) 3222-7923";"(68) 9961-6213";"apadeq@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Associação de Parentes e Amigos de Dependentes Quimicos";"Rua";"Floriano Peixoto";949;;"Centro";"69900-030";"Acre";"Rio Branco - Acre";"-9,9794461466";"-67,761589247";"(68) 3222-7923";"(68) 9961-6213";"apadeq@gmail.com";"Adolescentes - Adultos - Idosos";;;;;;
"Casa Resgate Jocum - Menor";"Estrada";"Porto Acre";"S/N";"Km - 06";"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9929709966";"-67,7451097549";"(68) 9228-5189";;"dionnesluis@hotmail.com";"Adolescentes";"Não";;"Masculino";"Voluntária";;
"Casa de Recuperação Caminho de LUz";"Rodovia";"AC - 40 Km - 9";178;"Travessa Mestre Gabriel - Ramal da Palheira";"Vila Jeruzalem";"69908-030";"Acre";"Rio Branco - Acre";"-9,9848561541";"-67,7863084853";"(68) 3221-1203";"(68) 9984-9353";"caminhodeluz@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Acolhedora Rei Salamão";"Rodovia";"Ramal Boca do Acre";75;;"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9767411092";"-67,7643358291";"(68) 3224-2022";"(68) 9984-9353";"casacaminhodeluz@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Acolhedora Mestre Gabriel";"Rodovia";"AC - 40";178;"Km 09 - Ramal da Palheira";"Vila Jeruzalem";"69908-030";"Acre";"Rio Branco - Acre";"-9,9767411092";"-67,7670824111";"(68) 3221-1203";"(68) 9984-9353";"casacaminhodeluz@gmail.com";"Adultos - Idosos";"Sim";"Filhos das internas";"Feminino - Masculino";"Voluntária";;
"Casa de Recuperação Caminho de Luz";"Avenida";"Getulio Vargas";595;;"Centro";"69900-000";"Acre";"Rio Branco - Acre";"-9,9686258621";"-67,7972948135";"(68) 3221-1203";"(68) 9213-0422";;"Adultos";;;;;;
"Casa do Pai - Jocum Masculina";"Estrada";"Do Amapá";"S/N";"Ramal do Rodo";"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9929709966";"-67,8027879775";"(68) 9228-5473";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Mão Amiga";"Rua";"Vitoria";808;;"Conquista";"69918-798";"Acre";"Rio Branco - Acre";"-9,9929709966";"-67,7780687392";"(68) 9987-4222";"(68) 3227-2574";"cleidemoraes.h@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Mão Amiga";"Estrada";"Apolonio Sales";"S/N";"Km - 11";"Zona Rural";"69900-000";"Acre";"Rio Branco - Acre";"-9,9821511616";"-67,8275072158";"(68) 9987-4722";"(68) 3227-2574";"cleidemoraes.h@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Jocum - Jovens com uma missão";"Rua";"Minas Gerais";423;;"Preventorio";"69900-000";"Acre";"Rio Branco - Acre";"-9,9821511616";"-67,7725755752";"(68) 3224-6682";"(68) 9985-1688";;;;;;;;
"Casa Terapêutica Ebenezer";"Avenida";"Antônio da Rocha Viana";2942;"Chácara Vale da Benção";"Vila Ivonete";"69900-000";"Acre";"Rio Branco - Acre";"-9,9409513";"-67,826691";"(68) 9983-4869";"(68) 3228-0065";"acalva.ac@gmail.com";"Adultos";"Sim";"Crianças encaminhadas por juiz";"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Gloria - Fazenda Esperança São Pelegrino";"Rodovia";"BR- 334";"S/N";"Km - 06";"Zona Rural";"69940-000";"Acre";"Sena Madureira - Acre";"-9,1880076109";"-68,5552593643";"(68) 9997-2302";"(68) 3612-4511";"senamadureira.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Obra social Nossa Senhora da Glória Fazenda da Esperança São Pelegrino";"Avenida";"Avelino Chaves";1312;;"Centro";"64940-000";"Acre";"Sena Madureira - Acre";"-9,6648771127";"-69,2583843643";"(68) 3612-2234";"(68) 9997-2302";"senamadureira.m@fazenda.org.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Jocum - Unidade Nova Vida";"Rua";"Antonio de Almeida";729;;"Triunfo";"69925-000";"Acre";"Senador Guiomard - Acre";"-10,149729496";"-67,7303219161";"(68) 3232-2631";"(68) 9911-2139";"jocumdenize@gmail.com";"Adultos - Idosos";"Não";;"Feminino";"Voluntária - Involuntária - Compulsória";;
"Associação Vítimas das Drogas Santo Onesimo CT Santo Onesimo";"Sítio";"Daria";"S/N";"Prox. a Escola Estadual da Olaria";"Zona Rural- Poavoado Daria";"57000-490";"Alagoas";"Água Branca - Alagoas";"-9,2473741871";"-37,9521333607";"(82) 9915-0704";;;"Adolescentes";"Não";;"Masculino";"Voluntária";;
"Instituto Associação Jesus te Ama";"Distrito";"chá do Brejo";"S/Nº";"Sentido cidade maribondo, 3Km";"Zona";"57660-000";"Alagoas";"Anadia - Alagoas";"-9,6847873146";"-36,3067578335";"(82) 9974-4346";;"e_veraldomacedo@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa Comunidade Dona Paula";"Sítio";"Bom Jardim";"S/N";"Proximo ao Hospital Psiquiatrico ITA";"Bom Jardim - Zona Rural";"57317-000";"Alagoas";"Arapiraca - Alagoas";"-9,7563598699";"-36,6610503281";"(82) 9992-0005";;"casacomunidadedonapaula@hotmail.com";"Adultos";;;"Masculino";"Voluntária";;
"Comunidade Casa do Oleiro";"Rua";"Principal";18;"Povoado Fernandes";"Zona Rural";"57300-000";"Alagoas";"Arapiraca - Alagoas";"-9,7522999571";"-36,6596765509";"(82) 9115-0242";"(82) 8703-7500";"casadooleiro@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação São Miguel Arcanjo";"Sítio";"Pau D";"S/N";;"Km 101";"57000-000";"Alagoas";"Arapiraca - Alagoas";"-9,7157549161";"-36,6019983282";"(82) 9925-0677";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Nova Vida";"Rua";"Ângelo Sobrinho";160;;"Cavaco";"57306-530";"Alagoas";"Arapiraca - Alagoas";"-9,739429";"-36,682433";"(82) 9907-5769";"(82) 9663-4161";"dasilva.joseadilson@yahoo.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Associação Civil Lar Semear";"Rua";"Ouro Branco";134;;"Santa Esmeralda";"57312-020";"Alagoas";"Arapiraca - Alagoas";"-9,7393607";"-36,6524483";"(82) 9999-6110";;"larsemear@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Gênesis - Comuge";"Avenida";"Nossa Senhora da Conceição";"S/N";"Povoado Belo Horizonte - frente ao colegio Rui Palmeiras";"Belo Horizonte";"57250-000";"Alagoas";"Campo Alegre - Alagoas";"-9,7890565571";"-36,3268742184";"(82) 3275-1775";"(82) 9309-6256";"comunidadegenesis1@hotmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Associação para acolhimento de Dependentes Quimicos e Formação de Conselheiros Terapeuticos São Paulo Apóstolo - CT São Paulo Apostolo";"Sítio";"Baixo";"S/Nº";"em frente à Escola Estadual Álvaro paes";"zona";"57325-000";"Alagoas";"Coité do Nóia - Alagoas";"-9,6351940174";"-36,5841055256";"(82) 9997-2151";;;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Fazenda Vida Nova - Comunidade Kerygma";"Sítio";"Lagoa Torta";"S/N";"proximo ao Centro de Peregrinação Cidade de Maria";"Zona Rural";"57300-000";"Alagoas";"Craíbas - Alagoas";"-9,6189387937";"-36,7585109647";"(82) 9111-0533";"(82) 9667-0404";"fazendavidanova@hotmail.com";"Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
